Episode 89, red win:34, green win 1, red all leave 19, green all leave 35, steps: 48
Episode 90, red win:34, green win 1, red all leave 19, green all leave 36, steps: 21
Episode 91, red win:35, green win 1, red all leave 19, green all leave 36, steps: 63
Episode 92, red win:36, green win 1, red all leave 19, green all leave 36, steps: 42
Episode 93, red win:36, green win 1, red all leave 19, green all leave 37, steps: 115
Episode 94, red win:37, green win 1, red all leave 19, green all leave 37, steps: 30
Episode 95, red win:37, green win 1, red all leave 19, green all leave 38, steps: 63
Episode 96, red win:37, green win 1, red all leave 19, green all leave 39, steps: 47
Episode 97, red win:38, green win 1, red all leave 19, green all leave 39, steps: 52
Episode 98, red win:38, green win 1, red all leave 19, green all leave 40, steps: 23
Episode 99, red win:39, green win 1, red all leave 19, green all leave 40, steps: 51
evaluation:  39 1 19 40
